market,language,keyword,english,concept,volume,recent,cpc,kd,intent,variant_of
au-en,en,notebooklm enterprise,en,nlm-switch,30,20,0,,nav,
au-en,en,ai document analysis,en,rag-docs,20,10,0,,info,
au-en,en,ai for legal documents,en,legal,20,10,21.72,,comm,
au-en,en,is notebooklm private,en,nlm-privacy,20,20,0,,info,
au-en,en,notebooklm vs obsidian,en,nlm-alternative,20,20,0,,info,
au-en,en,ai without internet,en,offline,10,10,0,,info,
au-en,en,air-gapped ai,en,air-gap,10,10,15.85,,info,
au-en,en,gdpr compliant ai,en,compliance,10,10,0,,info,
au-en,en,hipaa compliant ai,en,compliance,10,10,4.69,,nav,
au-en,en,is notebooklm safe,en,nlm-privacy,10,10,0,,info,
au-en,en,local chatgpt,en,local,10,10,0,0,info,
au-en,en,notebooklm audio overview,en,podcast,10,10,3.92,,nav,
au-en,en,notebooklm for business,en,nlm-switch,10,10,0,,trans,
au-en,en,notebooklm offline,en,nlm-switch,10,10,0,,nav,
au-en,en,notebooklm open source alternative,en,nlm-switch,10,10,0,,nav,
au-en,en,soc 2 ai,en,compliance,10,10,105.43,,info,
au-en,en,tools like notebooklm,en,nlm-alternative,10,10,0,,comm,
br-pt,pt,notebooklm,en,nlm-head,1220000,1220000,0.38,37,trans,
br-pt,pt,ollama,en,tools,33100,33100,1.65,22,info,
br-pt,pt,lm studio,en,tools,14800,14800,2.24,18,nav,
br-pt,pt,msty,en,tools,2900,1900,2.26,2,nav,
br-pt,pt,open webui,en,tools,2900,2900,2.05,17,nav,
br-pt,pt,anythingllm,en,tools,1900,1900,1.16,9,info,
br-pt,pt,librechat,en,tools,1300,1300,0.42,4,nav,
br-pt,pt,notebooklm em português,,nlm-lang,1300,1300,1.08,13,nav,
br-pt,pt,notebooklm download,en,nlm-download,1000,1000,0.88,17,trans,
br-pt,pt,gpt4all,en,tools,880,590,1.25,25,info,
br-pt,pt,notebooklm app,en,nlm-download,880,720,0.88,26,trans,
br-pt,pt,obsidian ai,en,pkm,720,720,1.23,29,info,
br-pt,pt,ia open source,,open-source,590,590,1.9,20,info,
br-pt,pt,obsidian ia,,pkm,590,590,5.73,21,info,
br-pt,pt,jan ai,en,tools,480,480,0.22,7,info,
br-pt,pt,notebooklm gratuito,,nlm-price,480,480,0.63,13,info,
br-pt,pt,notebooklm preço,,nlm-price,480,320,1.34,0,comm,
br-pt,pt,notebooklm pro,en,nlm-price,480,210,1.15,20,comm,
br-pt,pt,chat with pdf,en,rag-docs,390,170,0.77,38,info,
br-pt,pt,ia local,,local,390,390,0.73,0,info,
br-pt,pt,local ai,en,local,390,390,3,39,nav,
br-pt,pt,notebooklm api,en,nlm-other,390,210,1.76,42,info,
br-pt,pt,notebooklm plus,en,nlm-price,390,210,2.94,38,trans,
br-pt,pt,open source ai,en,open-source,390,390,1.84,49,info,
br-pt,pt,ai for pdf,en,rag-docs,320,170,0.66,79,info,
br-pt,pt,baixar notebooklm,,nlm-download,320,320,0.97,14,trans,
br-pt,pt,ia offline,,offline,320,320,0.24,0,info,
br-pt,pt,llm local,,local,320,320,3.23,9,nav,
br-pt,pt,local llm,en,local,260,260,1.46,13,nav,
br-pt,pt,ia para documentos,,rag-docs,210,210,1.38,0,info,
br-pt,pt,notebooklm podcast,en,podcast,210,140,0.79,29,nav,
br-pt,pt,notebooklm pricing,en,nlm-price,140,90,2.32,36,comm,
br-pt,pt,notebooklm enterprise,en,nlm-switch,110,110,1.29,,nav,
br-pt,pt,open source llm,en,open-source,110,90,0.66,48,info,
br-pt,pt,gerador de podcast ia,,podcast,90,90,0.93,,nav,
br-pt,pt,ia de código aberto,,open-source,90,90,2.05,,info,
br-pt,pt,lgpd ia,,compliance,90,90,3.34,,info,
br-pt,pt,rodar ia localmente,,local,90,90,0,,trans,
br-pt,pt,secure ai,en,compliance,90,90,3.16,,comm,
br-pt,pt,ai podcast generator,en,podcast,70,40,1,,comm,
br-pt,pt,ia privada,,private,70,70,0.94,,info,
br-pt,pt,offline ai,en,offline,70,70,0,,info,
br-pt,pt,podcast com ia,,podcast,70,70,1.41,1,info,
br-pt,pt,private ai,en,private,70,70,1.03,,info,
br-pt,pt,ai for lawyers,en,legal,50,40,4.98,,comm,
br-pt,pt,best local llm,en,local,50,50,3.78,,info,
br-pt,pt,chat com pdf,,rag-docs,50,20,0.49,0,nav,
br-pt,pt,run llm locally,en,local,50,50,6.85,,info,
br-pt,pt,local ai models,en,local,40,40,0,,comm,
br-pt,pt,notebooklm limits,en,nlm-price,40,30,0,,info,
br-pt,pt,second brain ai,en,pkm,40,40,2.38,,info,
br-pt,pt,self hosted ai,en,self-hosted,40,40,1.83,,comm,
br-pt,pt,ai knowledge base,en,rag-docs,30,30,5.83,,info,
br-pt,pt,notebooklm for mac,en,nlm-download,30,30,0,,trans,
br-pt,pt,notebooklm vs chatgpt,en,nlm-alternative,30,20,0,,info,
br-pt,pt,pdf to podcast,en,podcast,30,30,0.59,,info,
br-pt,pt,private gpt,en,tools,30,20,0,23,info,
br-pt,pt,notebooklm offline,en,nlm-switch,20,20,0,,nav,
br-pt,pt,ai research assistant,en,research,10,10,1.71,,info,
br-pt,pt,ia código aberto,,open-source,10,10,1.01,,info,
br-pt,pt,notebooklm for students,en,nlm-switch,10,10,1.01,,comm,
br-pt,pt,notebooklm vs obsidian,en,nlm-alternative,10,10,0,,info,
br-pt,pt,notebooklm windows app,en,nlm-download,10,10,0,,nav,
br-pt,pt,offline chatgpt,en,offline,10,10,0,,info,
br-pt,pt,on premise ai,en,on-prem,10,10,15.27,,comm,
br-pt,pt,open source chatgpt alternative,en,open-source,10,10,0,,comm,
br-pt,pt,open source notebooklm,en,nlm-switch,10,10,0,,nav,
br-pt,pt,private ai chatbot,en,private,10,10,0.16,,comm,
br-pt,pt,private chatgpt,en,private,10,10,0,,nav,
br-pt,pt,segundo cérebro ia,,pkm,10,10,0,,info,
br-pt,pt,ia para advogados,,legal,0,0,0,27,comm,
ca-en,en,notebooklm,en,nlm-head,201000,110000,2.94,55,trans,
ca-en,en,ollama,en,tools,22200,22200,2.63,43,info,
ca-en,en,lm studio,en,tools,9900,9900,4.54,21,nav,
ca-en,en,msty,en,tools,8100,2900,3.7,0,info,
ca-en,en,open webui,en,tools,2400,2400,8.54,46,nav,
ca-en,en,anythingllm,en,tools,1600,1300,3.49,18,info,
ca-en,en,librechat,en,tools,1300,1300,7.29,9,nav,
ca-en,en,ai podcast generator,en,podcast,880,260,4.37,8,comm,
ca-en,en,local llm,en,local,880,880,6,21,nav,
ca-en,en,open source ai,en,open-source,720,720,4.83,35,info,
ca-en,en,gpt4all,en,tools,590,320,19.65,13,info,
ca-en,en,is notebooklm free,en,nlm-price,590,480,11.19,32,info,
ca-en,en,jan ai,en,tools,590,590,4.86,15,info,
ca-en,en,local ai,en,local,590,590,5.35,44,nav,
ca-en,en,obsidian ai,en,pkm,590,590,16.77,10,info,
ca-en,en,notebooklm app,en,nlm-download,480,390,2.54,47,trans,
ca-en,en,open notebook,en,tools,480,390,1.71,24,info,
ca-en,en,private ai,en,private,480,390,1.65,16,info,
ca-en,en,sovereign ai,en,sovereign,480,480,13.36,19,info,
ca-en,en,notebooklm pricing,en,nlm-price,320,260,6.83,2,comm,
ca-en,en,open source llm,en,open-source,320,320,10.66,33,info,
ca-en,en,local ai models,en,local,260,260,4.39,29,comm,
ca-en,en,ai for lawyers,en,legal,210,170,39.71,22,comm,
ca-en,en,notebooklm api,en,nlm-other,210,90,3.69,23,info,
ca-en,en,private ai chatbot,en,private,210,210,2.28,25,comm,
ca-en,en,ai for pdf,en,rag-docs,170,70,6.07,57,info,
ca-en,en,ai research assistant,en,research,170,170,3.67,55,info,
ca-en,en,onyx ai,en,tools,170,170,5.4,15,trans,
ca-en,en,notebooklm alternatives,en,nlm-alternative,140,90,0,0,info,
ca-en,en,notebooklm download,en,nlm-download,140,140,1.17,37,trans,
ca-en,en,notebooklm podcast,en,podcast,140,50,2.95,23,nav,
ca-en,en,offline ai,en,offline,140,140,1.71,14,info,
ca-en,en,chat with pdf,en,rag-docs,110,40,2.01,30,info,
ca-en,en,secure ai,en,compliance,110,70,28.75,16,comm,
ca-en,en,ai knowledge base,en,rag-docs,90,70,44.4,29,info,
ca-en,en,notebooklm plus,en,nlm-price,90,50,0,39,trans,
ca-en,en,notebooklm vs chatgpt,en,nlm-alternative,90,30,0,0,info,
ca-en,en,privategpt,en,tools,90,50,3.03,9,info,
ca-en,en,self-hosted llm,en,self-hosted,90,90,1.08,4,info,
ca-en,en,notebooklm limits,en,nlm-price,70,30,0,21,info,
ca-en,en,second brain ai,en,pkm,70,70,4.02,27,info,
ca-en,en,notebooklm desktop app,en,nlm-download,50,40,0,32,nav,
ca-en,en,notebooklm for mac,en,nlm-download,50,30,0,,trans,
ca-en,en,notebooklm for windows,en,nlm-download,50,40,2.51,,trans,
ca-en,en,hipaa compliant ai,en,compliance,40,40,24.83,,nav,
ca-en,en,is notebooklm private,en,nlm-privacy,30,10,0,,info,
ca-en,en,local rag,en,rag-docs,30,30,0,,info,
ca-en,en,khoj ai,en,tools,20,10,0,,info,
ca-en,en,local notebooklm,en,nlm-switch,20,10,0,,nav,
ca-en,en,notebooklm audio overview,en,podcast,20,10,0,,nav,
ca-en,en,notebooklm open source alternative,en,nlm-switch,20,10,0,,nav,
ca-en,en,notebooklm vs obsidian,en,nlm-alternative,20,20,0,,info,
ca-en,en,run llama locally,en,local,20,10,0,,nav,
ca-en,en,ai document analysis,en,rag-docs,10,10,0,,info,
ca-en,en,ai for legal documents,en,legal,10,10,77.03,,comm,
ca-en,en,air-gapped ai,en,air-gap,10,10,75.5,,info,
ca-en,en,apps like notebooklm,en,nlm-alternative,10,10,1.76,,info,
ca-en,en,gdpr compliant ai,en,compliance,10,10,0,,info,
ca-en,en,is notebooklm safe,en,nlm-privacy,10,10,0,,info,
ca-en,en,notebooklm alternative free,en,nlm-alternative,10,10,0,,comm,
ca-en,en,notebooklm for business,en,nlm-switch,10,10,0,,trans,
ca-en,en,notebooklm offline,en,nlm-switch,10,10,0,,nav,
ca-en,en,notebooklm vs perplexity,en,nlm-alternative,10,10,0,,info,
ca-en,en,soc 2 ai,en,compliance,10,10,379.88,,info,
ca-fr,fr,notebooklm,en,nlm-head,201000,110000,2.94,28,trans,
ca-fr,fr,ollama,en,tools,22200,22200,2.63,42,info,
ca-fr,fr,lm studio,en,tools,9900,9900,4.54,17,nav,
ca-fr,fr,msty,en,tools,8100,2900,3.7,0,info,
ca-fr,fr,open webui,en,tools,2400,2400,8.54,23,nav,
ca-fr,fr,anythingllm,en,tools,1600,1300,3.49,9,info,
ca-fr,fr,librechat,en,tools,1300,1300,7.29,23,nav,
ca-fr,fr,ai podcast generator,en,podcast,880,260,4.37,7,comm,
ca-fr,fr,local llm,en,local,880,880,6,25,nav,
ca-fr,fr,open source ai,en,open-source,720,720,4.83,44,info,
ca-fr,fr,gpt4all,en,tools,590,320,19.65,17,info,
ca-fr,fr,jan ai,en,tools,590,590,4.86,10,info,
ca-fr,fr,local ai,en,local,590,590,5.35,30,nav,
ca-fr,fr,obsidian ai,en,pkm,590,590,16.77,13,info,
ca-fr,fr,notebooklm app,en,nlm-download,480,390,2.54,58,trans,
ca-fr,fr,open notebook,en,tools,480,390,1.71,28,info,
ca-fr,fr,private ai,en,private,480,390,1.65,18,info,
ca-fr,fr,sovereign ai,en,sovereign,480,480,13.36,20,info,
ca-fr,fr,notebooklm pricing,en,nlm-price,320,260,6.83,0,comm,
ca-fr,fr,open source llm,en,open-source,320,320,10.66,33,info,
ca-fr,fr,local ai models,en,local,260,260,4.39,,comm,
ca-fr,fr,ai for lawyers,en,legal,210,170,39.71,26,comm,
ca-fr,fr,best local llm,en,local,210,210,0,11,info,
ca-fr,fr,notebooklm api,en,nlm-other,210,90,3.69,23,info,
ca-fr,fr,private ai chatbot,en,private,210,210,2.28,23,comm,
ca-fr,fr,ai research assistant,en,research,170,170,3.67,16,info,
ca-fr,fr,notebooklm pro,en,nlm-price,170,40,2.46,9,comm,
ca-fr,fr,onyx ai,en,tools,170,170,5.4,21,trans,
ca-fr,fr,notebooklm alternative,en,nlm-alternative,140,110,2.56,0,info,
ca-fr,fr,notebooklm alternatives,en,nlm-alternative,140,90,0,0,info,notebooklm alternative
ca-fr,fr,notebooklm download,en,nlm-download,140,140,1.17,53,trans,
ca-fr,fr,notebooklm en français,,nlm-lang,140,110,4.72,5,nav,
ca-fr,fr,notebooklm mcp,en,nlm-other,140,110,5.08,13,nav,
ca-fr,fr,notebooklm podcast,en,podcast,140,50,2.95,16,nav,
ca-fr,fr,offline ai,en,offline,140,140,1.71,40,info,
ca-fr,fr,run llm locally,en,local,140,110,3.99,10,info,
ca-fr,fr,chat with pdf,en,rag-docs,110,40,2.01,27,info,
ca-fr,fr,secure ai,en,compliance,110,70,28.75,38,comm,
ca-fr,fr,self hosted ai,en,self-hosted,110,110,6.24,0,comm,
ca-fr,fr,ai knowledge base,en,rag-docs,90,70,44.4,15,info,
ca-fr,fr,notebooklm plus,en,nlm-price,90,50,0,22,trans,
ca-fr,fr,notebooklm vs chatgpt,en,nlm-alternative,90,30,0,,info,
ca-fr,fr,pdf to podcast,en,podcast,90,30,3.9,21,info,
ca-fr,fr,privategpt,en,tools,90,50,3.03,9,info,
ca-fr,fr,self-hosted llm,en,self-hosted,90,90,1.08,3,info,
ca-fr,fr,notebooklm français,,nlm-lang,70,20,0,5,nav,
ca-fr,fr,second brain ai,en,pkm,70,70,4.02,,info,
ca-fr,fr,notebooklm mind map,en,nlm-other,50,30,12.77,,info,
ca-fr,fr,private gpt,en,tools,50,30,2.39,9,info,
ca-fr,fr,ia open source,,open-source,40,30,5.69,30,info,
ca-fr,fr,notebooklm gratuit,,nlm-price,40,30,2.42,,trans,
ca-fr,fr,local rag,en,rag-docs,30,30,0,,info,
ca-fr,fr,notebooklm privacy,en,nlm-privacy,30,10,0,,nav,
ca-fr,fr,offline chatgpt,en,offline,30,20,1.41,5,info,
ca-fr,fr,podcast ia,,podcast,30,30,2.03,,info,
ca-fr,fr,private chatgpt,en,private,30,20,7.6,,nav,
ca-fr,fr,local notebooklm,en,nlm-switch,20,10,0,,nav,
ca-fr,fr,notebooklm open source,,nlm-switch,20,20,0,,nav,
ca-fr,fr,notebooklm windows app,en,nlm-download,20,10,0,,nav,
ca-fr,fr,ai document analysis,en,rag-docs,10,10,0,,info,
ca-fr,fr,air-gapped ai,en,air-gap,10,10,75.5,,info,
ca-fr,fr,chat avec pdf,,rag-docs,10,0,0,22,info,
ca-fr,fr,ia hors ligne,,offline,10,10,0,,nav,
ca-fr,fr,notebooklm prix,,nlm-price,10,10,0,,comm,
ca-fr,fr,notebooklm tarif,,nlm-price,10,0,0,,comm,
ca-fr,fr,notebooklm télécharger,,nlm-download,10,10,0.38,,trans,
ca-fr,fr,open source chatgpt alternative,en,open-source,10,10,0.46,,comm,
ca-fr,fr,self-hosted chatgpt,en,self-hosted,10,10,0,,comm,
ca-fr,fr,télécharger notebooklm,,nlm-download,10,10,0,,trans,
ch-de,de,notebooklm,en,nlm-head,60500,60500,3.6,19,trans,
ch-de,de,ollama,en,tools,8100,8100,4.43,27,info,
ch-de,de,lm studio,en,tools,3600,3600,4.61,4,nav,
ch-de,de,open webui,en,tools,1000,1000,3.14,28,nav,
ch-de,de,anythingllm,en,tools,720,720,0.12,21,info,
ch-de,de,librechat,en,tools,590,590,5.22,11,nav,
ch-de,de,gpt4all,en,tools,260,110,17.89,15,info,
ch-de,de,notebooklm app,en,nlm-download,210,210,1.83,24,trans,
ch-de,de,local llm,en,local,170,170,2.16,0,nav,
ch-de,de,open source ai,en,open-source,170,170,4.84,43,info,
ch-de,de,jan ai,en,tools,140,140,3.45,8,info,
ch-de,de,notebooklm download,en,nlm-download,110,110,5.86,19,trans,
ch-de,de,open notebook,en,tools,110,110,0,47,info,
ch-de,de,ai podcast generator,en,podcast,90,30,3.44,29,comm,
ch-de,de,notebooklm deutsch,,nlm-lang,90,30,0,26,nav,
ch-de,de,notebooklm alternative,en,nlm-alternative,70,50,0,0,info,
ch-de,de,notebooklm api,en,nlm-other,70,40,0,21,info,
ch-de,de,notebooklm pro,en,nlm-price,70,30,0,15,comm,
ch-de,de,open source ki,,open-source,70,50,9.59,,info,
ch-de,de,notebooklm podcast,en,podcast,50,30,0,0,nav,
ch-de,de,offline ai,en,offline,50,50,0,,info,
ch-de,de,chat with pdf,en,rag-docs,40,20,0.52,41,info,
ch-de,de,ai research assistant,en,research,30,10,6.76,,info,
ch-de,de,ki datenschutz,,private,30,20,5.36,,info,
ch-de,de,notebooklm desktop app,en,nlm-download,30,10,0,,nav,
ch-de,de,secure ai,en,compliance,30,20,17.1,,comm,
ch-de,de,ai for lawyers,en,legal,20,10,0,14,comm,
ch-de,de,datenschutz ki,,private,20,20,9.34,,info,
ch-de,de,notebooklm datenschutz,,nlm-privacy,20,10,0,,nav,
ch-de,de,notebooklm enterprise,en,nlm-switch,20,20,0,,nav,
ch-de,de,notebooklm limits,en,nlm-price,20,10,0,,info,
ch-de,de,notebooklm plus,en,nlm-price,20,10,0.06,44,trans,
ch-de,de,pdf to podcast,en,podcast,20,10,0,,info,
ch-de,de,ai document analysis,en,rag-docs,10,10,0,,info,
ch-de,de,ai for legal documents,en,legal,10,0,0,,comm,
ch-de,de,best notebooklm alternative,en,nlm-alternative,10,0,0,,comm,
ch-de,de,chat with documents locally,en,rag-docs,10,0,0,,nav,
ch-de,de,datenschutzkonforme ki,,compliance,10,10,4.04,,comm,
ch-de,de,dsgvo ki,,compliance,10,10,0,,info,
ch-de,de,ki wissensdatenbank,,rag-docs,10,10,0,,info,
ch-de,de,notebooklm for business,en,nlm-switch,10,0,0,,trans,
ch-de,de,notebooklm herunterladen,,nlm-download,10,10,0,,trans,
ch-de,de,notebooklm kostenlos,,nlm-price,10,10,0,,trans,
ch-de,de,notebooklm windows app,en,nlm-download,10,10,0,,nav,
ch-de,de,private ai chatbot,en,private,10,10,2.44,,comm,
ch-de,de,private ki,,private,10,10,4.6,,info,
ch-de,de,second brain ai,en,pkm,10,10,6.95,,info,
de-de,de,notebooklm,en,nlm-head,301000,301000,0.46,9,trans,
de-de,de,ollama,en,tools,49500,49500,3.97,31,info,
de-de,de,lm studio,en,tools,27100,27100,4.05,0,nav,
de-de,de,open webui,en,tools,6600,6600,4.9,17,nav,
de-de,de,anythingllm,en,tools,4400,4400,3.43,17,info,
de-de,de,librechat,en,tools,3600,3600,2.79,0,nav,
de-de,de,gpt4all,en,tools,1900,1000,3.64,8,info,
de-de,de,msty,en,tools,1600,880,14.35,6,info,
de-de,de,open source ki,,open-source,1300,1300,3.83,5,info,
de-de,de,jan ai,en,tools,1000,1000,3.09,8,info,
de-de,de,local ai,en,local,1000,1000,4.65,36,nav,
de-de,de,local llm,en,local,1000,1000,5.25,22,nav,
de-de,de,notebooklm app,en,nlm-download,1000,880,1.57,27,trans,
de-de,de,notebooklm deutsch,,nlm-lang,880,320,0.87,13,nav,
de-de,de,lokale ki,,local,720,720,4.6,0,nav,
de-de,de,obsidian ai,en,pkm,720,720,9.81,14,info,
de-de,de,open notebook,en,tools,720,720,0,43,info,
de-de,de,open source ai,en,open-source,720,720,4.55,57,info,
de-de,de,open source llm,en,open-source,720,720,3.08,31,info,
de-de,de,ki datenschutz,,private,590,480,7.01,19,info,
de-de,de,notebooklm download,en,nlm-download,590,590,1.47,12,trans,
de-de,de,ai podcast generator,en,podcast,480,320,3.35,33,comm,
de-de,de,best local llm,en,local,390,390,3.89,25,info,
de-de,de,notebooklm alternative,en,nlm-alternative,390,320,3.82,0,info,
de-de,de,notebooklm api,en,nlm-other,390,260,4.01,5,info,
de-de,de,notebooklm podcast,en,podcast,390,320,0.96,0,nav,
de-de,de,notebooklm pro,en,nlm-price,390,170,1.36,11,trans,
de-de,de,ki für anwälte,,legal,320,320,12.25,0,info,
de-de,de,lokale llm,,local,320,320,3.5,0,nav,
de-de,de,notebooklm kostenlos,,nlm-price,320,320,1.04,8,trans,
de-de,de,obsidian ki,,pkm,320,320,4.81,5,info,
de-de,de,datenschutz ki,,private,260,260,6.14,22,info,
de-de,de,dsgvo konforme ki,,compliance,260,260,11.79,0,info,
de-de,de,ki lokal betreiben,,local,260,260,1.84,0,comm,
de-de,de,offline ki,,offline,260,260,2.09,0,info,
de-de,de,onyx ai,en,tools,260,260,6.9,20,trans,
de-de,de,private ai,en,private,260,260,2.86,26,info,
de-de,de,chat with pdf,en,rag-docs,210,90,2.01,24,info,
de-de,de,local ai models,en,local,210,210,4.31,36,comm,
de-de,de,lokales llm,,local,210,210,3.2,0,nav,
de-de,de,notebooklm mcp,en,nlm-other,210,210,5,9,nav,
